param	KS_w4	JS_w4	KS_w8	JS_w8	KS_w20	JS_w20	KS_w8 fixedext	JS_w8 fixedext
mchirp	0.019899999999999918	0.0021918288459805953	0.016599999999999948	0.0027124662537505702	0.02980000000000005	0.0024952618118127736	0.021300000000000097	0.0023801455392662083
lnq	0.011200000000000015	0.00288393674641999	0.020299999999999985	0.004299800816533315	0.013500000000000179	0.003086165220723547	0.010100000000000109	0.0029266655793265903
chieff	0.019200000000000106	0.002565991312946084	0.01949999999999999	0.003939315222178779	0.01749999999999996	0.0032334169151884084	0.018199999999999994	0.002511046462990182
cumchidiff	0.017699999999999827	0.0033516611531615352	0.012399999999999967	0.003370269038239868	0.022600000000000176	0.0028831598695211874	0.01660000000000006	0.002868905841979488
d_luminosity	0.046699999999999964	0.002491980075616136	0.06540000000000007	0.0035894506943982716	0.05479999999999996	0.002360841050012507	0.05230000000000001	0.0030074920713138668
costheta_jn	0.12660000000000016	0.011361789967343654	0.15780000000000016	0.01615671922182255	0.12839999999999996	0.011553974568466803	0.12870000000000015	0.011169952505537003
ra	0.16630000000000023	0.03440438482110768	0.1925	0.03725875664101443	0.15300000000000014	0.030262510411393953	0.16640000000000021	0.03872903043930357
dec	0.15450000000000008	0.05953358209054077	0.19810000000000016	0.06535313410521487	0.13549999999999995	0.044617115121286716	0.15470000000000006	0.05972698056351582
psi	0.08450000000000002	0.047808159207350855	0.08410000000000006	0.04656806265180575	0.0605	0.027936826438017197	0.07910000000000006	0.044943263506663556
t_geocenter	0.063	0.016558152150820144	0.07709999999999995	0.016599996735268775	0.06720000000000004	0.012961969759216149	0.05780000000000002	0.016386562392945656
